User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Year,Date
1,Basic,10,2022,10-06-23,United States,28,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
2,Premium,15,2021,22-06-23,Canada,35,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002021
3,Standard,12,2023,27-06-23,United Kingdom,42,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
4,Standard,12,2022,26-06-23,Australia,51,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
5,Basic,10,2023,28-06-23,Germany,33,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
6,Premium,15,2022,27-06-23,France,29,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
7,Standard,12,2021,25-06-23,Brazil,46,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002021
8,Basic,10,2023,24-06-23,Mexico,39,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
9,Standard,12,2022,23-06-23,Spain,37,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
10,Premium,15,2023,22-06-23,Italy,44,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
11,Basic,10,2022,22-06-23,United States,31,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
12,Premium,15,2023,28-06-23,Canada,45,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
13,Standard,12,2021,27-06-23,United Kingdom,48,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002021
14,Basic,10,2022,26-06-23,Australia,27,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
15,Standard,12,2023,28-06-23,Germany,38,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
16,Premium,15,2022,27-06-23,France,36,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
17,Basic,10,2022,25-06-23,Brazil,30,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
18,Standard,12,2021,24-06-23,Mexico,43,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002021
19,Premium,15,2023,23-06-23,Spain,32,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
20,Basic,10,2023,22-06-23,Italy,41,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
21,Premium,15,2023,22-06-23,United States,26,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
22,Basic,10,2022,28-06-23,Canada,34,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
23,Standard,12,2021,27-06-23,United Kingdom,49,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002021
24,Standard,12,2022,26-06-23,Australia,31,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
25,Basic,10,2023,28-06-23,Germany,40,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
26,Premium,15,2022,27-06-23,France,29,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
27,Basic,10,2022,25-06-23,Brazil,47,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
28,Standard,12,2021,24-06-23,Mexico,33,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002021
29,Premium,15,2022,23-06-23,Spain,36,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
30,Basic,10,2023,22-06-23,Italy,42,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
31,Premium,15,2023,22-06-23,United States,28,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
32,Basic,10,2022,28-06-23,Canada,37,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
33,Standard,12,2022,27-06-23,United Kingdom,41,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
34,Standard,12,2022,26-06-23,Australia,29,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
35,Basic,10,2023,28-06-23,Germany,39,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
36,Premium,15,2022,27-06-23,France,35,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
37,Basic,10,2022,25-06-23,Brazil,45,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
38,Standard,12,2021,24-06-23,Mexico,32,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002021
39,Premium,15,2022,23-06-23,Spain,27,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
40,Basic,10,2023,22-06-23,Italy,48,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
41,Premium,15,2023,22-06-23,United States,31,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
42,Basic,10,2022,28-06-23,Canada,40,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
